Sentence,Tense,Verb
big drum,0,None
horse,0,None
who is that,1,is
those are checkers,1,are
two checkers yes,0,None
play checkers,1,play
big horn,0,None
get over Mommy,1,get
shadow,0,None
I like it,1,like
why don't you read Shadow yourself,1,don't
that's a terribly small horse for you to ride,1,s
why don't you look at some of the toys in the basket,1,don't
wanna,1,wanna
do you wanna see what I have,1,wanna
what is that,1,is
not in your mouth,0,None
let me put them together,1,let
no put floor,1,put
no that's his pencil,1,s
that's not Daddy that's Colin,1,s
I think perhaps ,1,think
perhaps he's going back to school,1,s
not on the window sill Adam,0,None
you write on the paper,1,write
my paper,0,None
circus,0,None
sitting in Adam's chair,0,None
why don't you read it to me,1,don't
dog,0,None
that's Cathy,1,s
horn,0,None
is this a horn,1,is
how many do you have like this,1,do
where are you going,1,are
how does a bunny walk,1,does
does he walk like you ,1,does
or does he go hop hop hop,1,does
what are you doing,1,are
sweep broom,1,sweep
is that a broom,1,is
I thought it was a brush,2,thought
it was a brush,2,was
okay,0,None
Adam Smith,0,None
is that the bunny name,1,is
get what,1,get
what,0,None
what is it,1,is
hear a tractor,1,hear
no I think,1,think
that's a truck,1,s
if you look out the other window ,1,look
maybe you'll see it,3,ll
did you see the truck,2,did
no you didn't see it,2,didn't
there goes one,1,goes
yes there goes one,1,goes
put the truck where,1,put
I think that ,1,think
that one's too large to go in the window,1,s
tow truck come here,1,come
where,0,None
oh yeah,0,None
that's a big truck,1,s
there goes another one,1,goes
busy bulldozer,0,None
yes look another one,1,look
Bozo,0,None
did you show Ursula that,2,did
do you know,1,do
what those are,1,are
I guess ,1,guess
she might like to see that,1,might
what kind of hat is that,1,is
Adam's hat,0,None
where have you seen a hat like that,1,have
what do you think this is,1,do
Humpty Dumpty,0,None
no,0,None
what is that,1,is
not the kind you hit ,1,hit
but the kind you kick,1,kick
so what kind of ball is that,1,is
not shoe ball,0,None
foot ball,0,None
I saw a tank truck,2,saw
you change the kitty's diaper,1,change
was he dirty,2,was
okay kitty what,0,None
Adam fall toy,1,fall
you didn't fall that time,2,didn't
you just sat down,2,sat
that one doesn't have a bunny on,1,doesn't have
those are her paper clips,1,are
you don't need a pencil,1,don't 
you had a pencil,2,had
here's a pencil,1,s
thank you,1,thank
why don't you take that over ,1,don't 
and show it to him,1,show
maybe he likes ball players,1,likes
do you think he would,1,do
did you show him the ball player,2,did
your ball player,0,None
what is that,1,is
what is that,1,is
boots yes,0,None
no Mr Greenjeans isn't on now,1,isn't
wouldn't you like to pick these up,1,wouldn't
part what trailer,0,None
is that part of the two truck,1,is
night night,0,None
are you ready to go night night,1,are
what kind of hat is that,1,is
you hit your head didn't you,2,hit
did it hurt,2,did
poor head,0,None
don't pull Mommy,1,don't
put pillow on the floor,1,put
you want Mommy to sit on the floor,1,want
you sit floor,1,sit
what do you want Mommy to do,1,do
do you want Mommy to stand up,1,do
Mommy stand up,1,stand
alright,0,None
Adam what,0,None
what about the chair,0,None
nice pony,0,None
what's your pony's name,1,s
may please,1,may
what do you want that for,1,do
fix kitty,1,fix
make mosquito,1,make
fine book,0,None
that's Daddy's filing case,1,s
don't take those out,1,do
leave them in there,1,leave
why not,0,None
because they're Daddy's,1,re
what is in there,1,is
oh,0,None
get Adam's bike,1,get
what pillow,0,None
that's a good one to jump on,1,s
which book,0,None
that's not really a boy's book,1,s
see ,1,see
there are no pictures,1,are
what is that,1,is
he sticks to me like,1,sticks
and scares away,1,scares
and surprise me with a shower,1,surprise
I'm a copy cat just like,1,m
build a castle out of,1,build
and pats it carefully with his,1,pats
did you read that,2,did
you gave it to him,2,gave
go get it,1,go
go get what,1,go
what am I,1,am
I help to move rocks,1,help
what is this,1,is
what am I,1,am
are you looking at the book,1,are looking
what is this,1,is
no,0,None
no that's a tape recorder,1,s
yes tape recorder,0,None
read bunny,1,read
can the bunny read,1,can
oh you're going to read to the bunny,3,re going to
that's a good idea,1,s
you can't write,1,can't
he can write but Adam can't write yet,1,can
mosquito,0,None
I'll get you,3,ll
poor Perro he was under the pillow,2,was
who's that,1,s
that's little Robin Red Breast,1,s
what's that,1,s
you leave his pencil in there Adam,1,leave
look Adam,1,look
here's one,1,s
do you know this one,1,do
now what are you writing,1,are
here,0,None
where's your piece of paper,1,s
who's that,1,s
can you spell your name,1,can
mustn't write on the book,1,mustn't
alright,0,None
now is it nice and clean again,1,is
pencil and paper alright,0,None
does your writing look like his,1,does
you tell me,1,tell
what are those up there,1,are
don't jump,1,don't
he can't write,1,can't
when you jump,1,jump
put dirt up,1,put
are you a busy bulldozer,1,are
are you a busy bulldozer,1,are
lollipop,0,None
why do you like to throw your book,1,do
what are you doing,1,are
oh you're like a bulldozer,1,re
no that's no funny,1,s
you had such a funny expression,2,had
must go where,1,must
no Mommy's going to be home,3,s going to
Adam will be home too,3,will
too,0,None
Catherine too,0,None
no,0,None
who,0,None
well Cliffy's at his house,1,s
Bozo,0,None
I guess Cliffy looks at Bozo at her house,1,looks
Cliffy looks at Bozo at her house,1,looks
your screwdriver isn't straight anymore,1,isn't
how can you work,1,can
how can you work,1,can
put it box,1,put
you don't have anything else to put in the box do you,1,don't
what is that,1,isn't
this is your bulldozer,1,isn't
oh my Adam bulldozer alright,0,None
careful,0,None
don't hit his feet,1,don't 
you like hit ball,1,like
isn't that part of your trailer,1,isn't
you go get it,1,go
I'll go get it,3,ll
how did you get them in there,2,did
there's one,1,s
I guess ,1,guess
he's working,1,s
let's put the poor mailman's head back on,1,let's
how can he see to deliver mail,1,can
what are you doing,1,are
tomato,0,None
where is a tomato,1,is
who is that,1,is
who,0,None
Mary,0,None
she's gone home,1,s
she went home in July,2,went
why don't you come over here and play with the ball,1,don't
you can get it,1,can
you go get it,1,go
Daddy's brief case,0,None
did you get the ball,2,did
where is it,1,is
those are Daddy's books,1,are
Daddy's and Mommy's,0,None
would you like to have your books on the bookshelf too,1,would
let's see,1,let's
if there are any pictures in this book,1,are
what is that,1,is
no that's a church,1,s
move your own road grader,0,None
go move the road grader,1,go
you pick the road grader up,1,pick
the dog doesn't want any paper does he,1,doesn't
here doggie,0,None
that's not a record,1,s
ask her ,1,ask
what that is,1,is
that's a tape recorder,1,s
don't touch,1,don't
what is it doing,1,is
record is playing,1,is
what does it do when it plays,1,does
do you hear a horn playing,1,do
I don't hear a horn,1,don't
is there a horn on there,1,is
did he like the water,2,did
what do you see in there,1,do
where does the ladder go,1,does
can you put it on,1,can
can you put them in there,1,can
