Sentence,Tense
big drum,0
horse,0
who is that,1
those are checkers,1
two checkers yes,0
play checkers,1
big horn,0
get over Mommy,1
shadow,0
I like it,1
why don't you read Shadow yourself,1
that's a terribly small horse for you to ride,1
why don't you look at some of the toys in the basket,1
wanna,1
do you wanna see what I have,1
what is that,1
not in your mouth,0
let me put them together,1
no put floor,1
no that's his pencil,1
that's not Daddy that's Colin,1
I think perhaps he's going back to school,1
not on the window sill Adam,0
you write on the paper,1
my paper,0
circus,0
sitting in Adam's chair,1
why don't you read it to me,1
dog,0
that's Cathy,1
horn,0
is this a horn,1
how many do you have like this,1
where are you going,1
how does a bunny walk,1
does he walk like you or does he go hop hop hop,1
what are you doing,1
sweep broom,0
is that a broom,1
I thought it was a brush,2
okay,0
Adam Smith,0
is that the bunny name,1
get what,1
what,0
what is it,1
hear a tractor,1
no I think that's a truck,1
if you look out the other window maybe you'll see it,1
did you see the truck,2
no you didn't see it,2
there goes one,1
yes there goes one,1
put the truck where,1
I think that one's too large to go in the window,1
tow truck come here,1
where,0
oh yeah,0
that's a big truck,1
there goes another one,1
busy bulldozer,0
yes look another one,1
Bozo,0
did you show Ursula that,2
do you know what those are,1
I guess she might like to see that,1
what kind of hat is that,1
Adam's hat,0
where have you seen a hat like that,2
what do you think this is,1
Humpty_Dumpty,0
no,0
what is that,1
not the kind you hit but the kind you kick,1
so what kind of ball is that,1
not shoe ball,0
foot ball,0
I saw a tank truck,2
you change the kitty's diaper,1
was he dirty,2
okay kitty what,0
Adam fall toy,1
you didn't fall that time,2
you just sat down,2
that one doesn't have a bunny on,1
those are her paper clips,1
you don't need a pencil,1
you had a pencil,1
here's a pencil,1
thank_you,1
why don't you take that over and show it to him,1
maybe he likes ball players,1
do you think he would,1
did you show him the ball player,2
your ball player,0
what is that,1
what is that,1
boots yes,0
no Mr Greenjeans isn't on now,1
wouldn't you like to pick these up,1
part what trailer,0
is that part of the two truck,1
night_night,0
are you ready to go night_night,1
what kind of hat is that,1
you hit your head didn't you,2
did it hurt,1
poor head,0
don't pull Mommy,1
put pillow on the floor,1
you want Mommy to sit on the floor,1
you sit floor,1
what do you want Mommy to do,1
do you want Mommy to stand up,1
Mommy stand up,1
alright,0
Adam what,0
what about the chair,0
nice pony,0
what's your pony's name,1
may please,1
what do you want that for,1
fix kitty,1
make mosquito,1
fine book,0
that's Daddy's filing case,1
